DESC_PROVEEDOR,LLAVE_PRODUCTO,COD_PRODUCTO,DESCRIPCION_PRODUCTO,GRUPO,DIVISION,LINEA,SUBLINEA,CATEGORIA,SUBCATEGORIA,FAMILIA,FECHA_CREACION,FECHA_MODIFICACION,DW_HASH,ID_GRUPO,ID_DIVISION,ID_LINEA,ID_SUBLINEA,ID_CATEGORIA,ID_SUBCATEGORIA,ID_FAMILIA,ID_PROVEEDOR,PRODUCTO_CORBETA
(en blanco),13051,13051,13051,13051,13051,13051,13051,13051,0,0,4434,13042,13051,13051,13051,13051,13051,13051,0,0,13051,13051
2SECURE SAS,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
3M,4,4,4,4,4,4,4,4,0,0,4,3,4,4,4,4,4,4,0,0,3,4
3M COLOMBIA SA,533,533,533,533,533,533,533,533,0,0,532,533,533,533,533,533,533,533,0,0,533,533
@.M. Mensajes y Cia. Ltda.,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
A K REPUESTOS LTDA,19,19,19,19,19,19,19,19,0,0,19,19,19,19,19,19,19,19,0,0,19,19
A Lugares y Dest. Mayor. de Turismo S.A.,495,495,495,495,495,495,495,495,0,0,495,495,495,495,495,495,495,495,0,0,495,495
A&R EMPAQUES SAS,90,90,90,90,90,90,90,90,0,0,90,90,90,90,90,90,90,90,0,0,90,90
A.C. Mayoristas S.A.,176,176,176,176,176,176,176,176,0,0,176,176,176,176,176,176,176,176,0,0,176,176
A.I TEXTILES,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,0,0,5,5
A.L. SOLUCIONES INTEGRALES S.A.S.,47,47,47,47,47,47,47,47,0,0,47,47,47,47,47,47,47,47,0,0,47,47
A.R.LOS RESTREPOS S.A.,14,14,14,14,14,14,14,14,0,0,14,14,14,14,14,14,14,14,0,0,14,14
AAAA Word Import-Export. Inc.,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,0,0,5,5
ABBOTT LABORATORIES DE COLOMBIA SA,144,144,144,144,144,144,144,144,0,0,144,144,144,144,144,144,144,144,0,0,144,144
ABC Carrocerias y Furgones S.A.S,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,4,4
ABC PLANTAS Y EQUIPOS S.A.S.,11,11,11,11,11,11,11,11,0,0,11,11,11,11,11,11,11,11,0,0,11,11
ABESPORT SRL,47,47,47,47,47,47,47,47,0,0,47,47,47,47,47,47,47,47,0,0,47,47
ABRASIVOS DE COLOMBIA SA,224,224,224,224,224,224,224,224,0,0,224,224,224,224,224,224,224,224,0,0,224,224
ABSORBENTES DE COLOMBIA S.A.,54,54,54,54,54,54,54,54,0,0,32,33,54,54,54,54,54,54,0,0,54,54
ABSORPELSA PAPELES ABSORVENTES S.A,20,20,20,20,20,20,20,20,0,0,20,0,20,20,20,20,20,20,0,0,20,20
ABURRA LTDA,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1
AC MARCA,8,8,8,8,8,8,8,8,0,0,7,3,8,8,8,8,8,8,0,0,8,8
ACAO INFORMATICA BRASIL LTDA SUC. COL.,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
ACCESS TECNOLOGIA EN ACCESOS S.A.S.,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
ACEITUNAS GUADALQUIVIR S.L.,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,0,0,5,5
ACEITUNAS KARINA S.L.,27,27,27,27,27,27,27,27,0,0,27,27,27,27,27,27,27,27,0,0,27,27
ACER AMERICA CORP,310,310,310,310,310,310,310,310,0,0,310,310,310,310,310,310,310,310,0,0,310,310
ACER LATIN AMERICA INC,90,90,90,90,90,90,90,90,0,0,90,90,90,90,90,90,90,90,0,0,90,90
ACPM LTDA,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
AD ELECTRONICS SAS,23,23,23,23,23,23,23,23,0,0,23,23,23,23,23,23,23,23,0,0,23,23
AD HOC GROUP LLC,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ADIELA ROCIO ARMERO,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
